PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
O43402	O43402	EMC8	ER membrane protein complex subunit 8	10855.73047	11605.32813	Filtered	10466.13672	13386.12793	11033.3623	33934.375	28345.04492	25947.49219	37963.9375	37878.17969
O43405	O43405	COCH	Cochlin	41381.84766	41415.90234	44093.35938	37429.38672	41483.53125	35998.42188	35834.58203	17409.14648	39767.79297	22904.44141	39882.125
O43414	O43414	ERI3	ERI1 exoribonuclease 3	18319.16992	15303.60742	15993.34375	15506.64648	13428.50879	16211.0127	15160.17969	17843.75977	15849.01172	16501.14453	15929.75879
O43422	O43422	THAP12	52 kDa repressor of the inhibitor of the protein kinase	Filtered	Filtered	Filtered	1561.346436	2289.925293	Filtered	11216.92676	16478.60547	14006.23828	14787.41699	24785.75586
O43426	O43426	SYNJ1	Synaptojanin-1	286477.5	253088.625	277993.8125	276693.5625	271171.625	277735.9375	130398.4375	147916	133475.4063	148505.625	143139.2188
O43427	O43427	FIBP	Acidic fibroblast growth factor intracellular-binding protein	25669.08008	25606.42188	29148.48828	24722.00195	26686.69727	25500.03711	20643.4043	22627.33008	18505.07813	22324.90234	22623.22266
O43432	O43432	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	11305.16113	10342.14648	11126.89941	10840.79395	11202.08008	11544.17871	45232.14844	49651.76563	43269.27344	55476.91406	61165.51563
O43462	O43462	MBTPS2	Membrane-bound transcription factor site-2 protease	Filtered	Filtered	Filtered	Filtered	Filtered	766.8001709	8427.097656	10200.53027	8569.333008	7565.992676	8921.451172
O43464	O43464	HTRA2	"Serine protease HTRA2, mitochondrial"	9125.986328	10079.11426	11408.19043	11554.43262	11961.43066	9816.802734	12405.08984	12767.36719	11466.63965	11445.73633	11663.05859
O43488	O43488	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	133073.5313	128823.0469	133985.0938	138991.4688	137495.1406	129156.9141	124727.9063	121136.5078	119005.5938	125269.9531	124755.9844
O43491	O43491	EPB41L2	Band 4.1-like protein 2	8538.581055	8941.938477	8985.261719	9239.551758	10471.63281	7044.058105	8009.668945	6265.337402	8752.165039	6388.645996	5901.824219
O43493	O43493	TGOLN2	Trans-Golgi network integral membrane protein 2	Filtered	Filtered	Filtered	305.4827576	Filtered	Filtered	17401.93359	15811.7207	23175.21289	13638.79688	16600.06445
O43504	O43504	LAMTOR5	Ragulator complex protein LAMTOR5	1486.134155	2374.682861	2601.495117	1988.383179	Filtered	3586.11792	3997.066895	5925.225586	9043.007813	3654.314697	5826.437988
O43505	O43505	B4GAT1	"Beta-1,4-glucuronyltransferase 1"	15529.09668	16872.37695	12754.70215	13931.4707	19942.91211	17300.52734	28726.43359	27748.16992	30784.77734	32937.96875	35224.25781
O43526	O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2	35468.64453	31884.32617	34791.80469	35463.81641	36989.875	32787.58594	24357.24023	24450.26953	26261.55078	25190.95703	23603.94336
O43556	O43556	SGCE	Epsilon-sarcoglycan	5249.986328	2698.739746	6322.691406	2730.595215	3451.31958	3528.344238	6005.01416	3258.013672	4946.243652	2600.603027	3358.710938
O43572	O43572	AKAP10	"A-kinase anchor protein 10, mitochondrial"	26332.86133	26178.78711	25010.72852	26008.94922	26408.17188	24071.57813	17100.37891	17864.62695	18922.01758	18488.37109	15449.44238
O43581	O43581	SYT7	Synaptotagmin-7	198735.1406	198016.5625	209537.625	206310.2969	210001.5781	194256.0625	87134.15625	81985.5625	87316.71094	83116.67969	72272.71094
O43583	O43583	DENR	Density-regulated protein	57747.70703	52040.10547	51772.12891	91298.88281	160707.5469	156317.1875	36415.03906	101704.3438	55408.85156	30916.7793	34339.35156
O43592	O43592	XPOT	Exportin-T	159091.875	144518.625	136434.5313	148899.1406	156955.7188	150409.8125	131427.2031	123714.7188	132381.0938	148688.1406	132789.8281
O43597	O43597	SPRY2	Protein sprouty homolog 2	18161.59766	15803.28906	19220.03516	18629.43359	19475.81055	18117.66797	8975.800781	11136.10352	8602.929688	9824.445313	10335.09961
O43598	O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	58587.75391	53730.69141	52894.51953	51092.69531	60628.21875	56140.53125	37907.5	43097.58984	37310.13672	36571.76563	38075.04688
O43602	O43602	DCX	Neuronal migration protein doublecortin	933365.8125	1050850.25	938256.0625	947463.125	904364.875	987473.5625	850204.625	970385.625	969461.625	1012549.188	955602.625
O43610	O43610	SPRY3	Protein sprouty homolog 3	11558.56738	8795.240234	10414.6582	7846.713867	8429.420898	8297.386719	1556.951172	1830.688232	2161.222168	Filtered	1678.864258
O43615	O43615	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	172917.7656	184645.1875	169099.6563	173122.9375	182398.75	175792.9688	243274.0625	249854.7031	280236.875	241183.4531	256943.9531
O43617	O43617	TRAPPC3	Trafficking protein particle complex subunit 3	8809.50293	7584.150879	8007.348633	5628.966797	6903.550781	10763.5957	7181.211426	11242.42773	11902.65137	8478.223633	11233.08594
O43633	O43633	CHMP2A	Charged multivesicular body protein 2a	10266.69043	14529.9873	15996.82813	12265.48145	13730.36719	16258.90625	7924.222168	12372.17871	8461.160156	7191.748535	7539.398926
O43639	O43639	NCK2	Cytoplasmic protein NCK2	88632	87314.08594	95950.10156	98236.92188	92285.60938	88889.03906	55565.46484	60030.71875	66734.03906	58871.40625	57608.07813
O43660	O43660	PLRG1	Pleiotropic regulator 1	24658.01563	25466.79297	30280.9375	22159.3125	21684.9375	21807.9375	14117.49609	15975.22852	16377.66211	17241.03125	16479.55273
O43665	O43665	RGS10	Regulator of G-protein signaling 10	4820.625977	16140.99219	23530.35547	21655.82031	11209.05273	10215.72168	87971.48438	31473.62305	111450.8281	100455.7344	114453.625
O43670	O43670	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3700.155518	2437.67749	3427.768066	2036.647583	3983.164795	Filtered	24246.33203	31691.5918	24552.5293	25788.07422	24714.19922
O43674	O43674	NDUFB5	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"	62057.52344	67849.57813	67866.40625	103823.8047	60198.65625	121046.1797	86902.65625	80861.96094	36468.38672	63276.24219	92181.04688
O43676	O43676	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	6196.794922	7256.99707	7015.602539	8763.395508	6011.857422	5870.645996	6971.498047	7887.39209	16106.82422	11261.25879	9865.981445
O43681	O43681	GET3	ATPase GET3	34573.19922	34274.10547	33018.38672	32330.01172	25107.28906	24398.64063	39870.63672	44004.19531	35471.77344	47269.625	33204.14063
O43684	O43684	BUB3	Mitotic checkpoint protein BUB3	12791.02246	14374.2041	14395.89746	13738.97754	14083.44531	16638.53711	158238.4688	165898.3438	226335.0156	180980.5469	214619.1563
O43707	O43707	ACTN4	Alpha-actinin-4	563646.125	583260.9375	553520.8125	560358.5625	572227.375	543873.875	441555.0625	446043.7188	469804.9063	420970.125	424436.375
O43708	O43708	GSTZ1	Maleylacetoacetate isomerase	44110.03906	48353.1875	45134.07422	44988.50391	47243.44531	48074.45703	44811.89453	47581.37891	37999.09375	43697.87109	41792.72656
O43719	O43719	HTATSF1	HIV Tat-specific factor 1	1031.44165	Filtered	Filtered	Filtered	13104.28027	Filtered	9152.555664	10134.80566	16649.25781	11089.58496	11864.73242
O43741	O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	41385.53516	34771.55859	34311.71484	36893.92188	35091.02344	28872.85156	29289.60547	31023.41211	22969.68555	23669.29883	27015.07617
O43747	O43747	AP1G1	AP-1 complex subunit gamma-1	282667.5313	251208.1406	269507.6563	269522.8125	293253.7188	304616.7188	209756.9219	235407.9219	230003.4844	221100.4375	242565.3125
O43752	O43752	STX6	Syntaxin-6	40641.24219	39787.71875	39396.14063	39651.47656	39999.48828	37516.375	30988.88867	27951.97656	33788.82813	28523.51563	30578.8418
O43765	O43765	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	23560.18164	29246.94336	31421.77539	30503.91602	28062.40039	39267.69531	50387.32813	50973.77344	59020.14844	47935.79297	55013.44531
O43768	O43768	ENSA	Alpha-endosulfine	19006.78711	10759.30859	15491.2041	16628.66406	3638.630859	31888.67383	13084.70117	8661.597656	27537.15625	30583.73242	23424.22656
O43772	O43772	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	15885.61621	13735.59375	14992.88281	15419.13086	15028.61816	16482.80469	13075.64258	11574.58398	12799.75195	10670.95508	12669.52539
O43776	O43776	NARS1	"Asparagine--tRNA ligase, cytoplasmic"	232259.5781	228541.4375	218583.4375	229074.1094	221173.0156	225757.3906	215106.7656	215017.8438	226567.1406	221093.7813	220561.6563
O43795	O43795	MYO1B	Unconventional myosin-Ib	33956.51563	33843.72656	30606.12695	31714.30469	31245.87109	32597.28125	54354.07813	49761.55859	53366.75781	53578.03516	52240.05859
O43808	O43808	SLC25A17	Peroxisomal membrane protein PMP34	10028.33984	9711.029297	9679.014648	12297.40625	13229.73438	12712.19727	37663.89063	34333.19531	32686.42578	37082.58984	41068.44922
O43809	O43809	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	10172.70898	11006.05664	5278.240723	6362.328613	7702.07666	3277.975098	230876.2656	249059.7656	233903.3594	331822.5	307316.375
O43813	O43813	LANCL1	Glutathione S-transferase LANCL1	151023.4844	139167.0313	145496.1719	155041.2344	162136.4531	151903.2031	103842.7109	108102.6172	93362.82031	112140.2031	98855.07813
O43815	O43815	STRN	Striatin	77940.25	77577.23438	81883.95313	81815.33594	81644.07031	77553.02344	78228.58594	77664.17188	85326.61719	74977.5	76198.80469
O43818	O43818	RRP9	U3 small nucleolar RNA-interacting protein 2	1474.739868	Filtered	Filtered	3243.199463	Filtered	Filtered	122357.9297	81720.15625	9334.689453	170523.7969	11051.77246
O43819	O43819	SCO2	"Protein SCO2 homolog, mitochondrial"	Filtered	17051.79297	29991.88086	35896.47266	11063.78418	Filtered	3452.36792	13503.29492	73617.21875	65874.51563	65625.23438
O43822	O43822	CFAP410	Cilia- and flagella-associated protein 410	16732.63477	9506.705078	10183.8584	9624.761719	17274.52344	10228.87402	9978.344727	11559.36328	12676.2334	10418.85059	8899.574219
O43823	O43823	AKAP8	A-kinase anchor protein 8	1	1	1	1	1	1	11373.82227	8228.057617	13310.83789	10824.95215	11530.46191
O43824	O43824	GTPBP6	Putative GTP-binding protein 6	6331.103027	7243.474609	6984.23291	7483.26416	6599.780273	3249.285889	15834.87988	15236.42773	14987.33789	13211.76367	13807.12891
O43837	O43837	IDH3B	"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	46940.68359	49272.16797	50074.25391	48810.73828	49540.41406	44749.71875	79101.47656	79377.52344	85332.23438	83795.21094	84347.57031
O43847	O43847	NRDC	Nardilysin	27504.75195	28495.18945	28706.29297	24640.8418	29421.93555	28864.10156	28113.93164	33994.42188	31412.60547	31875.29492	31524.94531
O43852	O43852	CALU	Calumenin	45619.94531	56421.56641	51233.26172	55133.99609	54937.29297	53654.00781	145802.7344	132573.4219	163795.1406	129562.7266	147542.9531
O43854	O43854	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	1131595.125	1168986.75	1062197.625	1005587.688	1085944.5	983598.125	825295.5	788598.75	817976.9375	797528.4375	769370.625
O43865	O43865	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	29222.4043	33130.6875	34383.68359	34570.33984	40065.98438	35147.57813	18359.74219	24050.0957	19827.95703	18050.65039	22990.77734
O43909	O43909	EXTL3	Exostosin-like 3	6941.802246	9555.470703	9184.610352	6418.841797	7899.486328	7139.345215	24073.79102	27958.01953	19925.03906	21250.70898	22674.89648
O43913	O43913	ORC5	Origin recognition complex subunit 5	1	1	1	1	1	1	37521.875	36845.27344	36838.30078	40970.78125	35289.50391
O43920	O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	71972.33594	71113.5625	71491.35938	75663.70313	69676.28906	70634.59375	97645.1875	84223.25781	85084.92969	88819.00781	91477.24219
O43924	O43924	PDE6D	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	28385.72656	27709.84961	34153.04688	33898.80469	32451.98438	34579.11719	29600.13867	27984.07227	56031.66797	34079.69531	27622.57617
O43929	O43929	ORC4	Origin recognition complex subunit 4	101834.5078	56592.15625	59135.50781	53092.80469	6738.358398	55266.87891	68135.1875	61473.59766	23762.76563	26249.72266	54271.39453
O43933	O43933	PEX1	Peroxisome biogenesis factor 1	6862.056641	2222.957275	4205.413574	3764.257813	13554.09473	18333.24219	10765.17383	38415.18359	12237.96582	8633.797852	9726.857422
O60216	O60216	RAD21	Double-strand-break repair protein rad21 homolog	Filtered	730.1811523	2089.47583	2404.423584	1883.368774	Filtered	53172.05078	51957.42969	62831.49219	51191.53125	58921.38281
O60229	O60229	KALRN	Kalirin	60916.38281	57332.91406	72157.57813	102725.5703	66982	100270.2734	46594.23047	33353.48828	66386.08594	36079.74219	57446.94531
O60231	O60231	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	Filtered	Filtered	843.7056274	Filtered	Filtered	1259.154785	16749.71094	16349.73047	17656.79492	18197.87109	20541.32617
O60238	O60238	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	820.9864502	Filtered	Filtered	Filtered	Filtered	2399.767822	7725.443848	1575.482544	10053.32617	1111.084839	8250.001953
O60242	O60242	ADGRB3	Adhesion G protein-coupled receptor B3	4163.008789	5123.708496	5262.652344	6160.6875	2941.813965	6401.446777	12080.96875	10705.71973	15054.8418	13249.31836	12020.77734
O60244	O60244	MED14	Mediator of RNA polymerase II transcription subunit 14	56821.85156	59679.35547	67179.8125	65426.36328	65694.77344	64918.89844	6224.592773	20454.08594	22143.30273	20362.49023	18508.41406
O60245	O60245	PCDH7	Protocadherin-7	57434.10547	51920.82813	58532.58984	59206.97656	57957.19531	55588.40234	34447.70313	31068.70703	38701.73438	33248.00391	31383.6582
O60256	O60256	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	513147.875	495047.0625	547551.8125	512315.125	534282.5625	527884.625	324434.875	364628.125	336852.3125	369619.0625	373308.3125
O60264	O60264	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1504.359009	698.2404785	1493.472656	668.5775146	3005.912842	1550.49231	35025.25781	39273.95313	40695.34375	42268.64453	52306.85547
O60266	O60266	ADCY3	Adenylate cyclase type 3	8650.956055	11747.87793	7822.65332	8204.405273	9470.541016	8370.311523	6961.651855	6973.332031	5479.77832	4695.730469	4892.37207
O60268	O60268	KIAA0513	Uncharacterized protein KIAA0513	38875.41016	35556.74219	39358.67969	41528.59766	39700.98828	39270.83203	21524.53906	21835.98633	21632.28711	21542.40039	20968.33203
O60269	O60269	GPRIN2	G protein-regulated inducer of neurite outgrowth 2	5458.023926	4489.963867	6223.919922	6722.320801	5207.583496	8012.190918	8684.137695	8842.413086	12780.77734	8963.594727	10240.10938
O60271	O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	13354.4707	14304.58203	9806.208984	12758.76855	17146.72656	9885.178711	21799.33594	25326.71875	18672.64844	21719.04297	25214.25391
O60281	O60281	ZNF292	Zinc finger protein 292	Filtered	Filtered	4901.648926	Filtered	5992.45459	Filtered	7171.644531	6427.15332	6552.452637	6100.808105	5903.10791
O60282	O60282	KIF5C	Kinesin heavy chain isoform 5C	1132927.25	1097088.125	1063448.75	1079514.875	1104809.5	1068207	659515.25	700773.125	690886.875	625241.75	612867.875
O60285	O60285	NUAK1	NUAK family SNF1-like kinase 1	5801.511719	6749.341309	6722.800293	3228.652832	Filtered	4815.284668	4365.562012	6418.40918	16280.15039	5683.742188	3856.322754
O60287	O60287	URB1	Nucleolar pre-ribosomal-associated protein 1	1	1	1	1	1	1	15086.91504	12867.88281	12838.53418	14742.7832	16272.98438
O60291	O60291	MGRN1	E3 ubiquitin-protein ligase MGRN1	18681.53516	18328.67188	18073.68359	19208.34375	20804.26563	17247.20117	23130.28906	16271.95215	24718.95117	28899.94141	19932.38086
O60292	O60292	SIPA1L3	Signal-induced proliferation-associated 1-like protein 3	8833.369141	7948.10498	8617.270508	8913.828125	10978.5166	7394.08252	11467.04102	7608.563965	9344.492188	7884.71582	9980.098633
O60294	O60294	LCMT2	tRNA wybutosine-synthesizing protein 4	9731.920898	4877.316406	5113.417969	4587.753906	8530.745117	4698.15332	5271.630371	9742.123047	6100.463379	6839.337891	12917.48633
O60296	O60296	TRAK2	Trafficking kinesin-binding protein 2	7344.692383	7131.097656	14089.05371	6404.858887	12550	13090.17285	6453.439453	7392.605469	8078.493652	8228.943359	5922.747559
O60299	O60299	LZTS3	Leucine zipper putative tumor suppressor 3	Filtered	Filtered	3243.214111	3495.171631	Filtered	3893.339111	14302.66504	12918.3418	17995.37109	12464.6709	16487.96289
O60306	O60306	AQR	RNA helicase aquarius	Filtered	Filtered	516.1360474	Filtered	772.1779785	1	28212.99219	29178.0332	30549.44922	38243.08594	36515.11328
O60313	O60313	OPA1	"Dynamin-like 120 kDa protein, mitochondrial"	521488.0625	510786.5313	506519.0938	510677.3438	502610.9688	492358.0625	407436.9375	395580.7813	451281.125	431875.6563	423741.0313
O60318	O60318	MCM3AP	Germinal-center associated nuclear protein	1	1	1	1	1	1	17668.7207	16396.89844	19158.73047	17286.02344	16020.82617
O60331	O60331	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	138710.0469	134118.4063	136347.5781	140356.9219	140286.8125	134495.9063	83599.50781	90438.04688	99578.49219	82149.53906	89947.75
O60333	O60333	KIF1B	Kinesin-like protein KIF1B	20794.13281	26812.46289	25026.48047	22652.02539	20356.39844	20750.03711	17719.85547	18184.59766	17638.42188	16176.86035	23996.87305
O60337	O60337	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	Filtered	Filtered	411.2112427	Filtered	Filtered	Filtered	6642.564453	5598.702148	4436.041504	6815.022461	5985.310059
O60341	O60341	KDM1A	Lysine-specific histone demethylase 1A	10068.08203	11902.92285	8561.075195	9429.356445	10363.83691	6733.750488	114629.2969	125872.3281	133849.7813	128937.3672	136607.4688
O60343	O60343	TBC1D4	TBC1 domain family member 4	54660.44922	53615.35547	61741.86719	59246.08594	58602.03906	57462.02344	40295.60156	40449.86328	42698.55469	44680.20313	43578.4375
O60347	O60347	TBC1D12	TBC1 domain family member 12	Filtered	Filtered	3784.541748	6161.791504	Filtered	Filtered	4176.543945	Filtered	9026.739258	6359.448242	7187.09668
O60422	O60422	ONECUT3	One cut domain family member 3	Filtered	Filtered	9606.191406	10883.74316	9832.044922	8649.875	48634.14453	52527.55078	50836.04688	50421.60156	47580.19141
O60427	O60427	FADS1	Acyl-CoA (8-3)-desaturase	10711.91211	11206.83594	12960.64063	11381.2832	12422.37988	11810.4043	29361.68359	28947.16602	32408.42578	30034	34642.74219
O60443	O60443	GSDME	Gasdermin-E	239207.6563	235598.4844	250756.7656	225580.1875	243957.2813	237400.7344	138075.3906	158148.6719	116035.6172	145341.9063	155607.5
O60462	O60462	NRP2	Neuropilin-2	15343.91699	15269.68848	14077.02051	13614.16504	14782.38672	14373.9502	6358.478516	4521.101563	6755.397461	4905.325684	5147.133789
O60477	O60477	BRINP1	BMP/retinoic acid-inducible neural-specific protein 1	14761.45801	13913.56055	16542.38477	19458.2168	16617.53711	16432.08008	12090.0332	11664.5498	6928.632324	11695.80859	12524.08887
O60486	O60486	PLXNC1	Plexin-C1	25986.56641	23158.24609	24919.86719	27516.21484	26075.22461	25935.23828	14120.0957	12264.4707	12012.17383	11822.08594	11276.27734
O60488	O60488	ACSL4	Long-chain-fatty-acid--CoA ligase 4	359455.1875	352318.4375	356644.2813	297863.4688	330727.9375	324507.0625	353990.25	356091.125	332989.2813	339307.0625	359157.1875
O60493	O60493	SNX3	Sorting nexin-3	31935.09375	34660.34766	32429.37695	27343.93359	35931.62891	31127.25195	45233.78516	52528.94141	44557.22266	44033.20703	41584.29688
O60502	O60502	OGA	Protein O-GlcNAcase	123768.2578	121538.2969	133867.2188	128185.7891	127168.3359	130566.9531	108709.8281	109558.6328	89939.90625	112914.1875	110148.8984
O60503	O60503	ADCY9	Adenylate cyclase type 9	61941.3125	64443.23438	72808.57031	70229.375	73012.5	70350.44531	34502.96875	36321.39063	33715.19531	35809.72656	29348.78125
O60506	O60506	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	52013.35938	59513.77734	42428.17188	53445.75781	51969.77344	53412.64844	602922.8125	637210.1875	577637.3125	631461.8125	791670.75
O60507	O60507	TPST1	Protein-tyrosine sulfotransferase 1	4344.78125	4274.794922	2545.89209	5017.934082	2522.002441	4011.269531	12274.62793	8999.197266	12927.36426	12998.52051	11946.82715
O60508	O60508	CDC40	Pre-mRNA-processing factor 17	1203.098267	Filtered	131819.9688	1717.520142	319.3074646	1452.705688	9794.195313	8688.185547	9061.12793	7886.881348	9123.584961
O60512	O60512	B4GALT3	"Beta-1,4-galactosyltransferase 3"	Filtered	Filtered	773.0584106	2000.144531	815.9605713	Filtered	5981.600098	4655.197266	7772.646973	6771.033691	6812.57666
O60513	O60513	B4GALT4	"Beta-1,4-galactosyltransferase 4"	1818.923828	1985.560791	1869.705688	2215.329346	1362.212524	1055.194214	12065.12305	9428.219727	12941.70215	11367.78223	11648.03223
O60518	O60518	RANBP6	Ran-binding protein 6	59845.46484	58145.48438	62284.07813	59823.32422	64293.09766	58783.17969	51675.28125	54264.33984	61482.25391	58219.58594	59230.21484
O60524	O60524	NEMF	Nuclear export mediator factor NEMF	10314.13867	5850.743652	1915.878418	5295.916992	1.138288736	1482.619629	11190.79297	6122.975098	4715.699219	6588.73291	6262.644043
O60547	O60547	GMDS	"GDP-mannose 4,6 dehydratase"	29989.49609	29782.35742	31528.27148	28296.80273	30872.71094	30905.20703	19778.25	21250.94336	19813.3418	18070.72852	20798.89648
O60551	O60551	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	21366.74219	22341.31055	21873.83984	25948.15234	25077.50586	29765.51367	22153.03906	22811.83594	26182.56055	20638.51367	24945.01367
O60568	O60568	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	3361.081543	4122.338379	Filtered	2554.790527	2960.392822	2338.322266	24209.44922	30687.16797	27720.48438	33792.75391	27752.22461
O60573	O60573	EIF4E2	Eukaryotic translation initiation factor 4E type 2	36578.15625	33323.40625	37988.00391	24532.62305	25674.39453	36099.59766	46965.32422	73369.97656	72691.03906	53564.82422	54019.78906
O60610	O60610	DIAPH1	Protein diaphanous homolog 1	30535.81055	21381.83594	31193.26367	34338.58203	36475.21875	35150.92578	20582.00586	20958.70313	22312.51563	26450.16211	27567.20117
O60613	O60613	SELENOF	Selenoprotein F	11695.41406	12406.90039	15336.79395	7034.170898	11582.82031	15001.54688	22688.01172	34334.66797	14828.60254	18005.26367	17000.06641
O60641	O60641	SNAP91	Clathrin coat assembly protein AP180	471098.8438	458880.5	518276.8125	484642.2813	475161.7188	490823.3125	356048.8438	349940.5	356380.4375	364928.4688	362425.5
O60645	O60645	EXOC3	Exocyst complex component 3	54700.49219	61263.19531	58748.74609	59494.79688	62322.92969	61287.58984	47458.89453	45440.02344	45324.89844	44284.40625	45702.37109
O60678	O60678	PRMT3	Protein arginine N-methyltransferase 3	15611.74902	17915.83594	5031.424316	4136.504883	4068.513184	3139.2229	1869.047974	Filtered	3814.992676	2817.654297	19006.17969
O60683	O60683	PEX10	Peroxisome biogenesis factor 10	Filtered	Filtered	Filtered	6162.185547	Filtered	Filtered	10810.60254	13383.77539	16058.02246	13357.43164	15489.73926
O60684	O60684	KPNA6	Importin subunit alpha-7	157641.9375	152913.4531	144924.2188	156378.9375	158817.7188	148737.125	166166.8438	160446.0781	157750.0156	152776.6406	157143.3281
O60701	O60701	UGDH	UDP-glucose 6-dehydrogenase	43819.10156	44107.73438	35236.26563	45805.61328	43421.72656	42007.42969	70628.00781	62521.00391	65992.95313	70100.75781	72149.82031
O60716	O60716	CTNND1	Catenin delta-1	459141.2188	442877.0938	426479	451012.7188	432905.9375	437683.1875	288745.25	288904.3125	272049.1875	282660.3125	282738.125
O60721;Q9UI40	O60721;Q9UI40	SLC24A1;SLC24A2	Sodium/potassium/calcium exchanger 1;Sodium/potassium/calcium exchanger 2	1095.824829	Filtered	2509.689697	Filtered	2410.86499	2520.598877	Filtered	Filtered	Filtered	1.069481254	Filtered
O60733	O60733	PLA2G6	85/88 kDa calcium-independent phospholipase A2	13248.48145	13668.65723	11534.7959	13677.18164	12275.61328	12604.14746	15101.83594	12015.14551	18716.39648	21258.62695	12695.36621
O60739	O60739	EIF1B	Eukaryotic translation initiation factor 1b	3004.290527	4877.544922	5642.881348	4945.286621	6347.472656	8803.508789	33540.92578	40731.10547	34506.24219	35291.66797	45423.92969
O60749	O60749	SNX2	Sorting nexin-2	201131.8594	189374.0313	180875.2656	195993.5	189497.4688	186956.875	139216.8281	137190.0156	141944.75	146049.5938	143756.2344
O60762	O60762	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	130531.1719	130081.1328	128581.9219	131059.2969	133924.1719	114252.7109	136380.7813	129916.0234	135157.4063	133634.5625	124291.8281
O60763	O60763	USO1	General vesicular transport factor p115	31714.19922	32643.42578	23666.27734	37651.17578	27461.82031	29832.22266	123312.2188	131649.5625	187801.8906	157050.0625	182347.1406
O60783	O60783	MRPS14	"28S ribosomal protein S14, mitochondrial"	15817.65234	7543.32666	12000.16992	18821.63281	14018.34473	13641.14258	59190.5625	60327.15625	68792.5	66386.21094	67863.85938
O60784	O60784	TOM1	Target of Myb protein 1	42958.04297	38042.29297	54661.42969	48221.62109	56755.53906	61661.46484	44013.90625	48012.92969	46347.125	49459.11719	50720.05859
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880	H2BC12;H2BC11;H2BC17;H2BC3;H2BS1;H2BC5;H2BC4;H2BC21;H2BC18;H2BU1;H2BC9;H2BC15;H2BC14;H2BC13	Histone H2B type 1-K;Histone H2B type 1-J;Histone H2B type 1-O;Histone H2B type 1-B;Histone H2B type F-S;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-E;Histone H2B type 2-F;Histone H2B type 3-B;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M;Histone H2B type 1-L	89052.66406	47832.53516	63164.25	50099.77734	42149.53125	52998.58984	3434761.25	3463540	3097203.25	3683405.75	3927607.75
O60825	O60825	PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"	8090.770996	9167.124023	7684.50293	7327.336426	8130.534668	8832.813477	8949.991211	9533.865234	7916.170898	9452.931641	8264.876953
O60826	O60826	CCDC22	Coiled-coil domain-containing protein 22	59961.1875	64787.61719	57503.92969	58765.05469	60626.19141	62435.36328	67536.34375	74061.6875	71655.28906	73828.09375	72481.75781
O60828	O60828	PQBP1	Polyglutamine-binding protein 1	1	1	1	1	1	1	25373.08203	22162.39648	32656.50195	23230.61523	29285.76758
O60830	O60830	TIMM17B	Mitochondrial import inner membrane translocase subunit Tim17-B	24452.8418	23700.89258	21108.10547	25309.92188	25071.92383	21398.46484	45980.55859	40110.91797	41378.81641	40355.04297	37139.07422
